안상수,인천 중구동구강화군옹진군,자유한국당
안호영,전북 완주군진안군무주군장수군,더불어민주당
어기구,충남 당진시,더불어민주당
여상규,경남 사천시남해군하동군,자유한국당
여영국,경남 창원시성산구,정의당
염동열,강원 태백시횡성군영월군평창군정선군,자유한국당
오신환,서울 관악구을,바른미래당
오영훈,제주 제주시을,더불어민주당
오제세,충북 청주시서원구,더불어민주당
우상호,서울 서대문구갑,더불어민주당
우원식,서울 노원구을,더불어민주당
원유철,경기 평택시갑,자유한국당
원혜영,경기 부천시오정구,더불어민주당
위성곤,제주 서귀포시,더불어민주당
유기준,부산 서구동구,자유한국당
유동수,인천 계양구갑,더불어민주당
유민봉,비례대표,자유한국당
유성엽,전북 정읍시고창군,무소속
유승민,대구 동구을,바른미래당
유승희,서울 성북구갑,더불어민주당
유은혜,경기 고양시병,더불어민주당
유의동,경기 평택시을,바른미래당
유재중,부산 수영구,자유한국당
윤관석,인천 남동구을,더불어민주당
윤상직,부산 기장군,자유한국당
윤상현,인천 남구을,자유한국당
윤소하,비례대표,정의당
윤영석,경남 양산시갑,자유한국당
윤영일,전남 해남군완도군진도군,무소속
윤일규,충남 천안시병,더불어민주당
윤재옥,대구 달서구을,자유한국당
윤종필,비례대표,자유한국당
윤준호,부산 해운대구을,더불어민주당
윤한홍,경남 창원시마산회원구,자유한국당
윤호중,경기 구리시,더불어민주당
윤후덕,경기 파주시갑,더불어민주당
이개호,전남 담양군함평군영광군장성군,더불어민주당
이규희,충남 천안시갑,더불어민주당
이동섭,비례대표,바른미래당
이만희,경북 영천시청도군,자유한국당
이명수,충남 아산시갑,자유한국당
이상돈,비례대표,바른미래당
이상민,대전 유성구을,더불어민주당
이상헌,울산 북구,더불어민주당
이석현,경기 안양시동안구갑,더불어민주당
이양수,강원 속초시고성군양양군,자유한국당
이언주,경기 광명시을,무소속
이용득,비례대표,더불어민주당
이용주,전남 여수시갑,무소속
이용호,전북 남원시임실군순창군,무소속
이원욱,경기 화성시을,더불어민주당
이은권,대전 중구,자유한국당
이은재,서울 강남구병,자유한국당
이인영,서울 구로구갑,더불어민주당
이장우,대전 동구,자유한국당
이재정,비례대표,더불어민주당
이정미,비례대표,정의당
이정현,전남 순천시,무소속
이종걸,경기 안양시만안구,더불어민주당
이종구,서울 강남구갑,자유한국당
이종명,비례대표,자유한국당
이종배,충북 충주시,자유한국당
이주영,경남 창원시마산합포구,자유한국당
이진복,부산 동래구,자유한국당
이찬열,경기 수원시갑,바른미래당
이채익,울산 남구갑,자유한국당
이철규,강원 동해시삼척시,자유한국당
이철희,비례대표,더불어민주당
이춘석,전북 익산시갑,더불어민주당
이태규,비례대표,바른미래당
이학영,경기 군포시을,더불어민주당
이학재,인천 서구갑,자유한국당
이해찬,세종특별자치시 세종,더불어민주당
이헌승,부산 부산진구을,자유한국당
이현재,경기 하남시,자유한국당
이혜훈,서울 서초구갑,바른미래당
이후삼,충북 제천시단양군,더불어민주당
이훈,서울 금천구,더불어민주당
인재근,서울 도봉구갑,더불어민주당
임이자,비례대표,자유한국당
임재훈,비례대표,바른미래당
임종성,경기 광주시을,더불어민주당
장병완,광주 동구남구갑,무소속
장석춘,경북 구미시을,자유한국당
장정숙,비례대표,바른미래당
장제원,부산 사상구,자유한국당
전재수,부산 북구강서구갑,더불어민주당
전해철,경기 안산시상록구갑,더불어민주당
전현희,서울 강남구을,더불어민주당
전혜숙,서울 광진구갑,더불어민주당
전희경,비례대표,자유한국당
정갑윤,울산 중구,자유한국당
정동영,전북 전주시병,민주평화당
정병국,경기 여주시양평군,바른미래당
정성호,경기 양주시,더불어민주당
정세균,서울 종로구,더불어민주당
정양석,서울 강북구갑,자유한국당
정용기,대전 대덕구,자유한국당
정우택,충북 청주시상당구,자유한국당
정운천,전북 전주시을,바른미래당
정유섭,인천 부평구갑,자유한국당
정은혜,비례대표,더불어민주당
정인화,전남 광양시곡성군구례군,무소속
정재호,경기 고양시을,더불어민주당
정점식,경남 통영시고성군,자유한국당
정종섭,대구 동구갑,자유한국당
정진석,충남 공주시부여군청양군,자유한국당
정춘숙,비례대표,더불어민주당
정태옥,대구 북구갑,자유한국당
제윤경,비례대표,더불어민주당
조경태,부산 사하구을,자유한국당
조배숙,전북 익산시을,민주평화당
조승래,대전 유성구갑,더불어민주당
조원진,대구 달서구병,우리공화당
조응천,경기 남양주시갑,더불어민주당
조정식,경기 시흥시을,더불어민주당
조훈현,비례대표,자유한국당
주광덕,경기 남양주시병,자유한국당
주승용,전남 여수시을,바른미래당
주호영,대구 수성구을,자유한국당
지상욱,서울 중구성동구을,바른미래당
진선미,서울 강동구갑,더불어민주당
진영,서울 용산구,더불어민주당
채이배,비례대표,바른미래당
천정배,광주 서구을,무소속
최경환,광주 북구을,무소속
최교일,경북 영주시문경시예천군,자유한국당
최도자,비례대표,바른미래당
최연혜,비례대표,자유한국당
최운열,비례대표,더불어민주당
최인호,부산 사하구갑,더불어민주당
최재성,서울 송파구을,더불어민주당
추경호,대구 달성군,자유한국당
추미애,서울 광진구을,더불어민주당
추혜선,비례대표,정의당
표창원,경기 용인시정,더불어민주당
하태경,부산 해운대구갑,바른미래당
한선교,경기 용인시병,자유한국당
한정애,서울 강서구병,더불어민주당
함진규,경기 시흥시갑,자유한국당
홍문종,경기 의정부시을,우리공화당
홍문표,충남 홍성군예산군,자유한국당
홍영표,인천 부평구을,더불어민주당
홍의락,대구 북구을,더불어민주당
홍익표,서울 중구성동구갑,더불어민주당
홍일표,인천 남구갑,자유한국당
홍철호,경기 김포시을,자유한국당
황주홍,전남 고흥군보성군장흥군강진군,민주평화당
황희,서울 양천구갑,더불어민주당
